Code Acte;N°;Désignation de la Prestation;Montant Global  TTC;"Montant pris en charge par l’entreprise (soit 80% TTC) plafonnés à 250;000;00DA TTC";Montant pris en charge par le bénéficiaire (soit 20% ou +  TTC);;
04TPI35010001;1;TDM ;"18;000.00";"14;400.00";"3;600.00";;
04TPI35010002;2;Echographie;"2;000.00";"1;600.00";400.00;;
04TPI35010003;3;Echo Mammaire (les 02 seins);"2;000.00";"1;600.00";400.00;;
04TPI35010004;4;Echo doppler;"4;000.00";"3;200.00";800.00;;
04TPI35010005;5;Mammographie;"4;000.00";"3;200.00";800.00;;
04TPI35010006;6; BIOPSIE DE SEIN (echoguidée);"9;000.00";"7;200.00";"1;800.00";;
04TPC35010001;7;Abcès appendiculaire;120 000.00;96 000.00;24 000.00;;
04TPC35010002;8;Abcès de sein;60 000.00;48 000.00;12 000.00;;
04TPC35010003;9;Abcès S/AL;15 000.00;12 000.00;3 000.00;;
04TPC35010004;10;ACC/Simple ;60 000.00;48 000.00;12 000.00;;
04TPC35010005;11;ACC/Sous péridural;75 000.00;60 000.00;15 000.00;;
04TPC35010006;12;Adenofibrome de sein;100 000.00;80 000.00;20 000.00;;
04TPC35010007;13;amputation abdomino-périnéale;300 000.00;240 000.00;60 000.00;;
04TPC35010008;14;Amputation de membre (diabète) 1 nuit ;80 000.00;64 000.00;16 000.00;;
04TPC35010009;15;Annexectomie ;80 000.00 ;64 000.00;16 000.00;;
04TPC35010010;16;Appendicite S/coelio;110 000.00;88 000.00;22 000.00;;
04TPC35010011;17;Appendicite simple;"80.000;00";64 000.00;16 000.00;;
04TPC35010012;18;bartholinite;60 000.00;48 000.00;12 000.00;;
04TPC35010013;19;Biopsie ganglionnaire S/AL;25 000.00;20 000.00;5 000.00;;
04TPC35010014;20;Canal carpien;45 000.00;36 000.00;9 000.00;;
04TPA35010015;21;Cancer de testicule;50 000.00;40 000.00;10 000.00;;
04TPA35010016;22;Cancer digestif gastrique;300 000.00;240 000.00;60 000.00;;
04TPC35010017;23;Célioscopie diagnostique ;80 000.00;48 000.00;12 000.00;;
04TPB35010018;24;Cerclage ;55 000.00;44 000.00;11 000.00;;
04TPB35010019;25;Césarienne ;110 000.00;88 000.00;22 000.00;;
04TPC35010020;26;Chirurgie testicule;90 000.00;72 000.00;18 000.00;;
04TPC35010021;27;choledoctomie+drain de kher lvbp;120 000.00;96 000.00;24 000.00;;
04TPC35010022;28;Circoncision sous anesthésie générale ;30 000.00;24 000.00;6 000.00;;
04TPC35010023;29;Circoncision sous anesthésie locale;15 000.00;12 000.00;3 000.00;;
04TPC35010024;30;colectomie segmentaire;150 000.00;120 000.00;30 000.00;;
04TPC35010025;31;colostomie simple;100 000.00;80 000.00;20 000.00;;
04TPB35010026;32;Curetage évacuateur;80 000.00;64 000.00;16 000.00;;
04TPB35010027;33;Déchirure du col;60 000.00;48 000.00;12 000.00;;
04TPB35010028;34;Délabrement vaginal;50 000.00;40 000.00;10 000.00;;
04TPC35010029;35;Ectopie testiculaire ;80 000.00;64 000.00;16 000.00;;
04TPC35010030;36;Evacuation d’une mole hydatiforme  ;80 000.00;64 000.00;16 000.00;;
04TPC35010031;37;éventration + plaque;150 000.00;120 000.00;30 000.00;;
04TPC35010032;38;éventration simple;100 000.00;80 000.00;20 000.00;;
04TPC35010033;39;Fente labiale;35 000.00;28 000.00;7 000.00;;
04TPC35010034;40;Fente palatine;40 000.00;32 000.00;8 000.00;;
04TPC35010035;41;Fibrome utérin;120 000.00;96 000.00;24 000.00;;
04TPC35010036;42;fissure anale;85 000.00;68 000.00;17 000.00;;
04TPC35010037;43;fistule anale;85 000.00;68 000.00;17 000.00;;
04TPC35010038;44;fistule pilonidale;85 000.00;68 000.00;17 000.00;;
04TPC35010039;45;Fracture avant bras (02 OS);100 000.00;80 000.00;20 000.00;;
04TPC35010040;46;Fracture Bi malléolaire ;80 000.00;64 000.00;16 000.00;;
